-82.766,-81.915,-81.770,-82.890,1.000,1.000,1.000,1.000,61.950,0.011,0.119,-0.887
92.213,91.737,91.720,92.230,1.000,1.000,1.000,1.000,69.190,0.006,-0.034,1.000
51.079,50.458,50.730,50.800,1.000,1.000,1.000,1.000,69.190,0.006,0.707,0.866
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.740,0.006,-0.002,-0.009
-65.857,-65.620,-65.420,-66.040,1.000,1.000,1.000,1.000,69.190,0.006,0.429,-0.953
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.340,0.006,0.002,-0.018
104.140,103.786,103.670,104.250,1.000,1.000,1.000,1.000,69.190,0.006,-0.245,0.985
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.180,0.006,0.002,-0.016
-62.057,-61.865,-61.640,-62.270,1.000,1.000,1.000,1.000,69.190,0.006,0.498,-0.936
-77.589,-76.495,-76.150,-77.890,0.700,0.700,0.700,0.700,23.400,0.006,0.076,-0.330
-176.252,-174.051,-176.110,-174.250,0.400,0.400,0.400,0.400,16.770,0.006,-0.241,-0.020
-175.095,-170.873,-174.750,-171.450,0.100,0.100,0.100,0.100,9.020,0.006,-0.129,-0.016
-94.215,-93.543,-93.580,-94.160,1.000,1.000,1.000,1.000,54.110,0.006,-0.053,-0.780
-50.800,-50.737,-50.450,-51.070,1.000,1.000,1.000,1.000,69.190,0.006,0.707,-0.866
5.084,-7.265,4.070,-9.040,0.000,0.000,0.000,0.000,2.730,0.006,0.039,-0.001
90.147,89.653,89.650,90.140,1.000,1.000,1.000,1.000,69.190,0.006,0.002,1.000
138.925,138.971,138.620,139.270,1.000,1.000,1.000,1.000,69.190,0.006,-0.801,0.698
129.263,129.200,128.920,129.540,1.000,1.000,1.000,1.000,69.190,0.006,-0.707,0.866
-179.964,-179.384,-179.960,-179.390,1.000,1.000,1.000,1.000,59.240,0.006,-0.856,-0.005
-81.143,-80.252,-80.060,-81.300,0.200,0.200,0.200,0.200,31.640,0.006,0.074,-0.451
-1.967,-9.762,-1.680,-11.340,0.200,0.200,0.200,0.200,3.920,0.006,0.017,-0.006
-54.196,-53.988,-53.430,-54.730,1.000,1.000,1.000,1.000,36.650,0.006,0.372,-0.389
-16.349,-16.953,-16.090,-17.210,1.000,1.000,1.000,1.000,37.950,0.006,0.525,-0.157
-8.449,-9.256,-8.300,-9.410,1.000,1.000,1.000,1.000,35.290,0.006,0.504,-0.079
-0.397,-0.884,-0.390,-0.890,1.000,1.000,1.000,1.000,69.190,0.006,1.000,-0.011
-52.268,-52.172,-51.840,-52.590,1.000,1.000,1.000,1.000,63.500,0.006,0.562,-0.725
-90.049,-89.558,-89.550,-90.040,1.000,1.000,1.000,1.000,69.190,0.006,0.003,-1.000
-25.703,-24.641,-26.670,-23.720,0.200,0.200,0.200,0.200,27.760,-0.011,0.363,-0.171
-4.160,2.306,-4.660,2.050,1.000,1.000,1.000,1.000,48.940,-0.057,0.705,-0.014
-12.982,-8.610,-14.260,-7.810,1.000,1.000,1.000,1.000,51.000,-0.050,0.723,-0.127
-36.284,-35.516,-38.320,-33.530,1.000,1.000,1.000,1.000,53.720,-0.033,0.628,-0.455
-89.462,-90.548,-90.530,-89.450,1.000,1.000,1.000,1.000,69.190,-0.013,0.000,-1.000
-89.173,-90.851,-90.820,-89.140,1.000,1.000,1.000,1.000,69.190,-0.021,0.000,-1.000
-89.590,-90.416,-90.400,-89.580,1.000,1.000,1.000,1.000,41.380,-0.006,0.000,-0.598
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,-0.006,0.000,-0.011
87.515,92.287,92.480,87.710,1.000,1.000,1.000,1.000,47.360,-0.040,0.000,0.683
89.452,90.538,90.540,89.460,1.000,1.000,1.000,1.000,69.190,-0.013,0.000,1.000
90.148,89.852,89.850,90.140,1.000,1.000,1.000,1.000,69.190,0.004,0.000,1.000
90.148,89.852,89.850,90.140,1.000,1.000,1.000,1.000,69.190,0.004,0.000,1.000
90.148,89.852,89.850,90.140,1.000,1.000,1.000,1.000,69.190,0.004,0.000,1.000
90.168,89.831,89.830,90.160,1.000,1.000,1.000,1.000,60.770,0.004,0.000,0.878
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350,0.004,0.000,-0.004
8.395,7.301,8.250,7.420,0.600,0.600,0.600,0.600,21.110,0.004,0.302,0.042
-58.759,-58.479,-58.030,-59.190,0.700,0.700,0.700,0.700,24.370,0.004,0.183,-0.301
-98.114,-83.669,-81.880,-96.330,0.100,0.100,0.100,0.100,1.450,0.004,0.000,-0.021
-173.193,-169.395,-172.780,-169.980,0.100,0.100,0.100,0.100,6.150,0.004,-0.088,-0.013
90.035,89.466,89.470,90.030,0.900,0.900,0.900,0.900,36.160,0.004,0.002,0.523
-18.164,-18.445,-18.020,-18.580,1.000,1.000,1.000,1.000,46.280,0.004,0.629,-0.224
139.378,139.454,138.920,139.900,0.900,0.900,0.900,0.900,29.390,0.004,-0.323,0.276
-37.630,-37.712,-37.350,-37.980,1.000,1.000,1.000,1.000,45.300,0.004,0.518,-0.400
-90.057,-88.283,-88.220,-90.050,0.600,0.500,0.500,0.600,11.380,0.004,0.002,-0.072
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,0.004,0.005,-0.011
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,0.004,0.005,-0.011
-86.283,-85.920,-85.890,-86.300,1.000,1.000,1.000,1.000,52.420,0.004,0.052,-0.819
